Ngày,Nhiệt độ tối thiểu hàng ngày,Nhiệt độ tối đa hàng ngày,Mức gió ổn định tối đa,Gió giật tối đa,Tổng lượng mưa hàng ngày,Độ dày của tuyết,Áp suất,Biểu tượng,Mô tả
10/6/2020,            24°C,            28°C,            24 Km/h,            N/A,"            70,1mm",            N/A,            N/A,            ,            Giông bãoMưa
10/7/2020,            25°C,            29°C,            34 Km/h,            58 Km/h,"            181,1mm",            N/A,            N/A,            ,            Giông bãoMưa
10/8/2020,            24°C,            27°C,            11 Km/h,            N/A,"            111,2mm",            N/A,            N/A,            ,            Mưa
10/9/2020,            24°C,            28°C,            26 Km/h,            46 Km/h,"            241,3mm",            N/A,            N/A,            ,            Giông bãoMưa
10/10/2020,            25°C,            27°C,            35 Km/h,            N/A,"            199,1mm",            N/A,            N/A,            ,            Mưa
10/11/2020,            24°C,            27°C,            48 Km/h,            63 Km/h,"            197,8mm",            N/A,            N/A,            ,            Mưa
10/12/2020,            24°C,            29°C,            16 Km/h,            N/A,"            95,5mm",            N/A,            N/A,            ,            Mưa
10/13/2020,            24°C,            27°C,            9 Km/h,            N/A,"            70,6mm",            N/A,            N/A,            ,            Mưa
10/14/2020,            25°C,            29°C,            11 Km/h,            N/A,"            6,6mm",            N/A,            N/A,            ,            Mưa
10/15/2020,            25°C,            30°C,            24 Km/h,            N/A,"            0,2mm",            N/A,            N/A,            ,            Mưa
10/16/2020,            25°C,            27°C,            29 Km/h,            52 Km/h,"            139,7mm",            N/A,            N/A,            ,            Giông bãoMưa
10/17/2020,            24°C,            28°C,            32 Km/h,            46 Km/h,"            116,8mm",            N/A,            N/A,            ,            Mưa
10/18/2020,            24°C,            30°C,            11 Km/h,            N/A,"            6,8mm",            N/A,            N/A,            ,            Giông bãoMưa
10/19/2020,            25°C,            28°C,            22 Km/h,            N/A,"            19,3mm",            N/A,            N/A,            ,            Giông bãoMưa
10/20/2020,            24°C,            26°C,            13 Km/h,            N/A,            0mm,            N/A,            N/A,            ,            Mưa
10/21/2020,            23°C,            29°C,            29 Km/h,            N/A,"            26,4mm",            N/A,            N/A,            ,            Mưa
10/22/2020,            22°C,            26°C,            N/A,            N/A,            0mm,            N/A,            N/A,            ,            sự kiện thời tiết không được báo cáo
